Review,Sentiment,Rating,sentiment_label,sentiment_score
"Color fades after washing, which is a letdown.",Negative,1,neutral,0
It cleans easily after outdoor adventures; a big plus for me.,Positive,5,positive,1
Lightweight and easy to carry during hikes and picnics.,Positive,5,positive,2
The stitching came undone after a week of use.,Negative,1,neutral,0
The eco-friendly claim seems questionable; no certifications provided.,Negative,1,neutral,0
The bag tore after just a few uses; very disappointing.,Negative,1,negative,-1
The eco-friendly claim seems questionable; no certifications provided.,Negative,1,neutral,0
I expected better quality for the price; not worth it.,Negative,1,neutral,0
It doesn't hold up well in wet conditions; water seeps through.,Negative,1,neutral,0
The design is bland and lacks personality.,Negative,1,neutral,0
The eco-friendly claim seems questionable; no certifications provided.,Negative,1,neutral,0
The eco-friendly claim seems questionable; no certifications provided.,Negative,1,neutral,0
The color options are fantastic and match any outfit.,Positive,5,positive,1
The color options are fantastic and match any outfit.,Positive,5,positive,1
The material feels flimsy and doesn't seem durable.,Negative,1,neutral,0
I love that it's eco-friendly; it feels good to support the environment!,Positive,5,positive,2
Durable material that holds up even on rough terrain.,Positive,5,positive,1
The eco-friendly claim seems questionable; no certifications provided.,Negative,1,neutral,0
The color options are fantastic and match any outfit.,Positive,5,positive,1
The bag tore after just a few uses; very disappointing.,Negative,1,negative,-1
"Color fades after washing, which is a letdown.",Negative,1,neutral,0
The color options are fantastic and match any outfit.,Positive,5,positive,1
It doesn't hold up well in wet conditions; water seeps through.,Negative,1,neutral,0
Durable material that holds up even on rough terrain.,Positive,5,positive,1
The stitching came undone after a week of use.,Negative,1,neutral,0
Durable material that holds up even on rough terrain.,Positive,5,positive,1
I love that it's eco-friendly; it feels good to support the environment!,Positive,5,positive,2
"Color fades after washing, which is a letdown.",Negative,1,neutral,0
Handles are uncomfortable and dig into my hands.,Negative,1,neutral,0
I appreciate the sustainable materials used; very thoughtful.,Positive,5,neutral,0
It's not as spacious as advertised; feels small.,Negative,1,neutral,0
It doesn't hold up well in wet conditions; water seeps through.,Negative,1,neutral,0
It cleans easily after outdoor adventures; a big plus for me.,Positive,5,positive,1
I appreciate the sustainable materials used; very thoughtful.,Positive,5,neutral,0
It cleans easily after outdoor adventures; a big plus for me.,Positive,5,positive,1
The tote is incredibly spacious and perfect for outdoor activities.,Positive,5,neutral,0
I appreciate the sustainable materials used; very thoughtful.,Positive,5,neutral,0
It cleans easily after outdoor adventures; a big plus for me.,Positive,5,positive,1
Handles are uncomfortable and dig into my hands.,Negative,1,neutral,0
The color options are fantastic and match any outfit.,Positive,5,positive,1
The tote is incredibly spacious and perfect for outdoor activities.,Positive,5,neutral,0
It cleans easily after outdoor adventures; a big plus for me.,Positive,5,positive,1
The eco-friendly claim seems questionable; no certifications provided.,Negative,1,neutral,0
Great for carrying all my gear without feeling heavy.,Positive,5,positive,1
I love that it's eco-friendly; it feels good to support the environment!,Positive,5,positive,2
The material feels flimsy and doesn't seem durable.,Negative,1,neutral,0
I love that it's eco-friendly; it feels good to support the environment!,Positive,5,positive,2
It cleans easily after outdoor adventures; a big plus for me.,Positive,5,positive,1
It doesn't hold up well in wet conditions; water seeps through.,Negative,1,neutral,0
Handles are uncomfortable and dig into my hands.,Negative,1,neutral,0
The handles are sturdy and comfortable to hold.,Positive,5,positive,2
Lightweight and easy to carry during hikes and picnics.,Positive,5,positive,2
I appreciate the sustainable materials used; very thoughtful.,Positive,5,neutral,0
I appreciate the sustainable materials used; very thoughtful.,Positive,5,neutral,0
The handles are sturdy and comfortable to hold.,Positive,5,positive,2
The bag tore after just a few uses; very disappointing.,Negative,1,negative,-1
The handles are sturdy and comfortable to hold.,Positive,5,positive,2
I love that it's eco-friendly; it feels good to support the environment!,Positive,5,positive,2
It doesn't hold up well in wet conditions; water seeps through.,Negative,1,neutral,0
The design is simple yet stylish; I get compliments all the time.,Positive,5,neutral,0
The eco-friendly claim seems questionable; no certifications provided.,Negative,1,neutral,0
It's not as spacious as advertised; feels small.,Negative,1,neutral,0
I appreciate the sustainable materials used; very thoughtful.,Positive,5,neutral,0
The handles are sturdy and comfortable to hold.,Positive,5,positive,2
The material feels flimsy and doesn't seem durable.,Negative,1,neutral,0
Handles are uncomfortable and dig into my hands.,Negative,1,neutral,0
I love that it's eco-friendly; it feels good to support the environment!,Positive,5,positive,2
I appreciate the sustainable materials used; very thoughtful.,Positive,5,neutral,0
Lightweight and easy to carry during hikes and picnics.,Positive,5,positive,2
The tote is incredibly spacious and perfect for outdoor activities.,Positive,5,neutral,0
The eco-friendly claim seems questionable; no certifications provided.,Negative,1,neutral,0
"Color fades after washing, which is a letdown.",Negative,1,neutral,0
The tote is incredibly spacious and perfect for outdoor activities.,Positive,5,neutral,0
Great for carrying all my gear without feeling heavy.,Positive,5,positive,1
The eco-friendly claim seems questionable; no certifications provided.,Negative,1,neutral,0
I appreciate the sustainable materials used; very thoughtful.,Positive,5,neutral,0
The design is simple yet stylish; I get compliments all the time.,Positive,5,neutral,0
The eco-friendly claim seems questionable; no certifications provided.,Negative,1,neutral,0
It's not as spacious as advertised; feels small.,Negative,1,neutral,0
I appreciate the sustainable materials used; very thoughtful.,Positive,5,neutral,0
It's not as spacious as advertised; feels small.,Negative,1,neutral,0
Handles are uncomfortable and dig into my hands.,Negative,1,neutral,0
Lightweight and easy to carry during hikes and picnics.,Positive,5,positive,2
Great for carrying all my gear without feeling heavy.,Positive,5,positive,1
The bag tore after just a few uses; very disappointing.,Negative,1,negative,-1
The color options are fantastic and match any outfit.,Positive,5,positive,1
The tote is incredibly spacious and perfect for outdoor activities.,Positive,5,neutral,0
The design is simple yet stylish; I get compliments all the time.,Positive,5,neutral,0
The material feels flimsy and doesn't seem durable.,Negative,1,neutral,0
The tote is incredibly spacious and perfect for outdoor activities.,Positive,5,neutral,0
The tote is incredibly spacious and perfect for outdoor activities.,Positive,5,neutral,0
The design is simple yet stylish; I get compliments all the time.,Positive,5,neutral,0
The bag tore after just a few uses; very disappointing.,Negative,1,negative,-1
It cleans easily after outdoor adventures; a big plus for me.,Positive,5,positive,1
The color options are fantastic and match any outfit.,Positive,5,positive,1
I expected better quality for the price; not worth it.,Negative,1,neutral,0
The material feels flimsy and doesn't seem durable.,Negative,1,neutral,0
I love that it's eco-friendly; it feels good to support the environment!,Positive,5,positive,2
It's not as spacious as advertised; feels small.,Negative,1,neutral,0
I expected better quality for the price; not worth it.,Negative,1,neutral,0
Handles are uncomfortable and dig into my hands.,Negative,1,neutral,0
I appreciate the sustainable materials used; very thoughtful.,Positive,5,neutral,0
I expected better quality for the price; not worth it.,Negative,1,neutral,0
Great for carrying all my gear without feeling heavy.,Positive,5,positive,1
Lightweight and easy to carry during hikes and picnics.,Positive,5,positive,2
Durable material that holds up even on rough terrain.,Positive,5,positive,1
"Color fades after washing, which is a letdown.",Negative,1,neutral,0
It's not as spacious as advertised; feels small.,Negative,1,neutral,0
The material feels flimsy and doesn't seem durable.,Negative,1,neutral,0
"Color fades after washing, which is a letdown.",Negative,1,neutral,0
It cleans easily after outdoor adventures; a big plus for me.,Positive,5,positive,1
Lightweight and easy to carry during hikes and picnics.,Positive,5,positive,2
The handles are sturdy and comfortable to hold.,Positive,5,positive,2
The tote is incredibly spacious and perfect for outdoor activities.,Positive,5,neutral,0
It cleans easily after outdoor adventures; a big plus for me.,Positive,5,positive,1
The design is bland and lacks personality.,Negative,1,neutral,0
The material feels flimsy and doesn't seem durable.,Negative,1,neutral,0
The design is simple yet stylish; I get compliments all the time.,Positive,5,neutral,0
I love that it's eco-friendly; it feels good to support the environment!,Positive,5,positive,2
The design is simple yet stylish; I get compliments all the time.,Positive,5,neutral,0
Great for carrying all my gear without feeling heavy.,Positive,5,positive,1
It cleans easily after outdoor adventures; a big plus for me.,Positive,5,positive,1
The color options are fantastic and match any outfit.,Positive,5,positive,1
Durable material that holds up even on rough terrain.,Positive,5,positive,1
The bag tore after just a few uses; very disappointing.,Negative,1,negative,-1
It doesn't hold up well in wet conditions; water seeps through.,Negative,1,neutral,0
It's not as spacious as advertised; feels small.,Negative,1,neutral,0
The color options are fantastic and match any outfit.,Positive,5,positive,1
The eco-friendly claim seems questionable; no certifications provided.,Negative,1,neutral,0
The design is bland and lacks personality.,Negative,1,neutral,0
It doesn't hold up well in wet conditions; water seeps through.,Negative,1,neutral,0
"Color fades after washing, which is a letdown.",Negative,1,neutral,0
It doesn't hold up well in wet conditions; water seeps through.,Negative,1,neutral,0
I appreciate the sustainable materials used; very thoughtful.,Positive,5,neutral,0
The bag tore after just a few uses; very disappointing.,Negative,1,negative,-1
Lightweight and easy to carry during hikes and picnics.,Positive,5,positive,2
The stitching came undone after a week of use.,Negative,1,neutral,0
The bag tore after just a few uses; very disappointing.,Negative,1,negative,-1
The tote is incredibly spacious and perfect for outdoor activities.,Positive,5,neutral,0
The handles are sturdy and comfortable to hold.,Positive,5,positive,2
The design is simple yet stylish; I get compliments all the time.,Positive,5,neutral,0
The material feels flimsy and doesn't seem durable.,Negative,1,neutral,0
I love that it's eco-friendly; it feels good to support the environment!,Positive,5,positive,2
Handles are uncomfortable and dig into my hands.,Negative,1,neutral,0
The eco-friendly claim seems questionable; no certifications provided.,Negative,1,neutral,0
The handles are sturdy and comfortable to hold.,Positive,5,positive,2
The tote is incredibly spacious and perfect for outdoor activities.,Positive,5,neutral,0
Durable material that holds up even on rough terrain.,Positive,5,positive,1
The material feels flimsy and doesn't seem durable.,Negative,1,neutral,0
Durable material that holds up even on rough terrain.,Positive,5,positive,1
Handles are uncomfortable and dig into my hands.,Negative,1,neutral,0
It doesn't hold up well in wet conditions; water seeps through.,Negative,1,neutral,0
The design is bland and lacks personality.,Negative,1,neutral,0
Lightweight and easy to carry during hikes and picnics.,Positive,5,positive,2
The tote is incredibly spacious and perfect for outdoor activities.,Positive,5,neutral,0
It cleans easily after outdoor adventures; a big plus for me.,Positive,5,positive,1
I expected better quality for the price; not worth it.,Negative,1,neutral,0
It cleans easily after outdoor adventures; a big plus for me.,Positive,5,positive,1
"Color fades after washing, which is a letdown.",Negative,1,neutral,0
The design is simple yet stylish; I get compliments all the time.,Positive,5,neutral,0
"Color fades after washing, which is a letdown.",Negative,1,neutral,0
The design is simple yet stylish; I get compliments all the time.,Positive,5,neutral,0
It cleans easily after outdoor adventures; a big plus for me.,Positive,5,positive,1
Durable material that holds up even on rough terrain.,Positive,5,positive,1
It doesn't hold up well in wet conditions; water seeps through.,Negative,1,neutral,0
The color options are fantastic and match any outfit.,Positive,5,positive,1
Handles are uncomfortable and dig into my hands.,Negative,1,neutral,0
The eco-friendly claim seems questionable; no certifications provided.,Negative,1,neutral,0
The eco-friendly claim seems questionable; no certifications provided.,Negative,1,neutral,0
I love that it's eco-friendly; it feels good to support the environment!,Positive,5,positive,2
The design is bland and lacks personality.,Negative,1,neutral,0
The bag tore after just a few uses; very disappointing.,Negative,1,negative,-1
Great for carrying all my gear without feeling heavy.,Positive,5,positive,1
The material feels flimsy and doesn't seem durable.,Negative,1,neutral,0
Durable material that holds up even on rough terrain.,Positive,5,positive,1
The bag tore after just a few uses; very disappointing.,Negative,1,negative,-1
It doesn't hold up well in wet conditions; water seeps through.,Negative,1,neutral,0
Lightweight and easy to carry during hikes and picnics.,Positive,5,positive,2
The stitching came undone after a week of use.,Negative,1,neutral,0
The color options are fantastic and match any outfit.,Positive,5,positive,1
The tote is incredibly spacious and perfect for outdoor activities.,Positive,5,neutral,0
It cleans easily after outdoor adventures; a big plus for me.,Positive,5,positive,1
The material feels flimsy and doesn't seem durable.,Negative,1,neutral,0
Lightweight and easy to carry during hikes and picnics.,Positive,5,positive,2
Handles are uncomfortable and dig into my hands.,Negative,1,neutral,0
Lightweight and easy to carry during hikes and picnics.,Positive,5,positive,2
The handles are sturdy and comfortable to hold.,Positive,5,positive,2
Durable material that holds up even on rough terrain.,Positive,5,positive,1
The handles are sturdy and comfortable to hold.,Positive,5,positive,2
The material feels flimsy and doesn't seem durable.,Negative,1,neutral,0
Handles are uncomfortable and dig into my hands.,Negative,1,neutral,0
The eco-friendly claim seems questionable; no certifications provided.,Negative,1,neutral,0
It doesn't hold up well in wet conditions; water seeps through.,Negative,1,neutral,0
The eco-friendly claim seems questionable; no certifications provided.,Negative,1,neutral,0
The design is bland and lacks personality.,Negative,1,neutral,0
The handles are sturdy and comfortable to hold.,Positive,5,positive,2
The eco-friendly claim seems questionable; no certifications provided.,Negative,1,neutral,0
I love that it's eco-friendly; it feels good to support the environment!,Positive,5,positive,2
The material feels flimsy and doesn't seem durable.,Negative,1,neutral,0
The handles are sturdy and comfortable to hold.,Positive,5,positive,2
I love that it's eco-friendly; it feels good to support the environment!,Positive,5,positive,2
The design is bland and lacks personality.,Negative,1,neutral,0
It doesn't hold up well in wet conditions; water seeps through.,Negative,1,neutral,0
It doesn't hold up well in wet conditions; water seeps through.,Negative,1,neutral,0
It's not as spacious as advertised; feels small.,Negative,1,neutral,0
I expected better quality for the price; not worth it.,Negative,1,neutral,0
It doesn't hold up well in wet conditions; water seeps through.,Negative,1,neutral,0
Handles are uncomfortable and dig into my hands.,Negative,1,neutral,0
It doesn't hold up well in wet conditions; water seeps through.,Negative,1,neutral,0
The material feels flimsy and doesn't seem durable.,Negative,1,neutral,0
The design is simple yet stylish; I get compliments all the time.,Positive,5,neutral,0
Lightweight and easy to carry during hikes and picnics.,Positive,5,positive,2
The bag tore after just a few uses; very disappointing.,Negative,1,negative,-1
The stitching came undone after a week of use.,Negative,1,neutral,0
The stitching came undone after a week of use.,Negative,1,neutral,0
The design is bland and lacks personality.,Negative,1,neutral,0
The design is bland and lacks personality.,Negative,1,neutral,0
The design is simple yet stylish; I get compliments all the time.,Positive,5,neutral,0
I expected better quality for the price; not worth it.,Negative,1,neutral,0
Lightweight and easy to carry during hikes and picnics.,Positive,5,positive,2
Great for carrying all my gear without feeling heavy.,Positive,5,positive,1
Great for carrying all my gear without feeling heavy.,Positive,5,positive,1
The bag tore after just a few uses; very disappointing.,Negative,1,negative,-1
It cleans easily after outdoor adventures; a big plus for me.,Positive,5,positive,1
Durable material that holds up even on rough terrain.,Positive,5,positive,1
The color options are fantastic and match any outfit.,Positive,5,positive,1
Handles are uncomfortable and dig into my hands.,Negative,1,neutral,0
It cleans easily after outdoor adventures; a big plus for me.,Positive,5,positive,1
"Color fades after washing, which is a letdown.",Negative,1,neutral,0
Handles are uncomfortable and dig into my hands.,Negative,1,neutral,0
It cleans easily after outdoor adventures; a big plus for me.,Positive,5,positive,1
Handles are uncomfortable and dig into my hands.,Negative,1,neutral,0
It's not as spacious as advertised; feels small.,Negative,1,neutral,0
Durable material that holds up even on rough terrain.,Positive,5,positive,1
The eco-friendly claim seems questionable; no certifications provided.,Negative,1,neutral,0
It's not as spacious as advertised; feels small.,Negative,1,neutral,0
The handles are sturdy and comfortable to hold.,Positive,5,positive,2
"Color fades after washing, which is a letdown.",Negative,1,neutral,0
The tote is incredibly spacious and perfect for outdoor activities.,Positive,5,neutral,0
I expected better quality for the price; not worth it.,Negative,1,neutral,0
Lightweight and easy to carry during hikes and picnics.,Positive,5,positive,2
"Color fades after washing, which is a letdown.",Negative,1,neutral,0
Great for carrying all my gear without feeling heavy.,Positive,5,positive,1
The tote is incredibly spacious and perfect for outdoor activities.,Positive,5,neutral,0
I love that it's eco-friendly; it feels good to support the environment!,Positive,5,positive,2
The eco-friendly claim seems questionable; no certifications provided.,Negative,1,neutral,0
I love that it's eco-friendly; it feels good to support the environment!,Positive,5,positive,2
I love that it's eco-friendly; it feels good to support the environment!,Positive,5,positive,2
The tote is incredibly spacious and perfect for outdoor activities.,Positive,5,neutral,0
I appreciate the sustainable materials used; very thoughtful.,Positive,5,neutral,0
The handles are sturdy and comfortable to hold.,Positive,5,positive,2
It cleans easily after outdoor adventures; a big plus for me.,Positive,5,positive,1
The eco-friendly claim seems questionable; no certifications provided.,Negative,1,neutral,0
The stitching came undone after a week of use.,Negative,1,neutral,0
The tote is incredibly spacious and perfect for outdoor activities.,Positive,5,neutral,0
It cleans easily after outdoor adventures; a big plus for me.,Positive,5,positive,1
The handles are sturdy and comfortable to hold.,Positive,5,positive,2
Durable material that holds up even on rough terrain.,Positive,5,positive,1
The design is bland and lacks personality.,Negative,1,neutral,0
The stitching came undone after a week of use.,Negative,1,neutral,0
The color options are fantastic and match any outfit.,Positive,5,positive,1
The design is simple yet stylish; I get compliments all the time.,Positive,5,neutral,0
The material feels flimsy and doesn't seem durable.,Negative,1,neutral,0
The design is bland and lacks personality.,Negative,1,neutral,0
The color options are fantastic and match any outfit.,Positive,5,positive,1
It doesn't hold up well in wet conditions; water seeps through.,Negative,1,neutral,0
The material feels flimsy and doesn't seem durable.,Negative,1,neutral,0
The material feels flimsy and doesn't seem durable.,Negative,1,neutral,0
The design is simple yet stylish; I get compliments all the time.,Positive,5,neutral,0
The stitching came undone after a week of use.,Negative,1,neutral,0
It doesn't hold up well in wet conditions; water seeps through.,Negative,1,neutral,0
The handles are sturdy and comfortable to hold.,Positive,5,positive,2
The tote is incredibly spacious and perfect for outdoor activities.,Positive,5,neutral,0
The bag tore after just a few uses; very disappointing.,Negative,1,negative,-1
The handles are sturdy and comfortable to hold.,Positive,5,positive,2
Great for carrying all my gear without feeling heavy.,Positive,5,positive,1
The handles are sturdy and comfortable to hold.,Positive,5,positive,2
The stitching came undone after a week of use.,Negative,1,neutral,0
Lightweight and easy to carry during hikes and picnics.,Positive,5,positive,2
Durable material that holds up even on rough terrain.,Positive,5,positive,1
Durable material that holds up even on rough terrain.,Positive,5,positive,1
Durable material that holds up even on rough terrain.,Positive,5,positive,1
The bag tore after just a few uses; very disappointing.,Negative,1,negative,-1
The design is bland and lacks personality.,Negative,1,neutral,0
I appreciate the sustainable materials used; very thoughtful.,Positive,5,neutral,0
The eco-friendly claim seems questionable; no certifications provided.,Negative,1,neutral,0
I appreciate the sustainable materials used; very thoughtful.,Positive,5,neutral,0
The material feels flimsy and doesn't seem durable.,Negative,1,neutral,0
The handles are sturdy and comfortable to hold.,Positive,5,positive,2
The material feels flimsy and doesn't seem durable.,Negative,1,neutral,0
It's not as spacious as advertised; feels small.,Negative,1,neutral,0
The design is simple yet stylish; I get compliments all the time.,Positive,5,neutral,0
The eco-friendly claim seems questionable; no certifications provided.,Negative,1,neutral,0
It cleans easily after outdoor adventures; a big plus for me.,Positive,5,positive,1
I love that it's eco-friendly; it feels good to support the environment!,Positive,5,positive,2
The handles are sturdy and comfortable to hold.,Positive,5,positive,2
The tote is incredibly spacious and perfect for outdoor activities.,Positive,5,neutral,0
The design is bland and lacks personality.,Negative,1,neutral,0
It cleans easily after outdoor adventures; a big plus for me.,Positive,5,positive,1
I expected better quality for the price; not worth it.,Negative,1,neutral,0
Handles are uncomfortable and dig into my hands.,Negative,1,neutral,0
I appreciate the sustainable materials used; very thoughtful.,Positive,5,neutral,0
The material feels flimsy and doesn't seem durable.,Negative,1,neutral,0
The color options are fantastic and match any outfit.,Positive,5,positive,1
The design is simple yet stylish; I get compliments all the time.,Positive,5,neutral,0
Lightweight and easy to carry during hikes and picnics.,Positive,5,positive,2
The bag tore after just a few uses; very disappointing.,Negative,1,negative,-1
It doesn't hold up well in wet conditions; water seeps through.,Negative,1,neutral,0
The design is bland and lacks personality.,Negative,1,neutral,0
Lightweight and easy to carry during hikes and picnics.,Positive,5,positive,2
It doesn't hold up well in wet conditions; water seeps through.,Negative,1,neutral,0
The material feels flimsy and doesn't seem durable.,Negative,1,neutral,0
It doesn't hold up well in wet conditions; water seeps through.,Negative,1,neutral,0
The stitching came undone after a week of use.,Negative,1,neutral,0
It cleans easily after outdoor adventures; a big plus for me.,Positive,5,positive,1
The color options are fantastic and match any outfit.,Positive,5,positive,1
The design is simple yet stylish; I get compliments all the time.,Positive,5,neutral,0
The bag tore after just a few uses; very disappointing.,Negative,1,negative,-1
The bag tore after just a few uses; very disappointing.,Negative,1,negative,-1
Handles are uncomfortable and dig into my hands.,Negative,1,neutral,0
I expected better quality for the price; not worth it.,Negative,1,neutral,0
Handles are uncomfortable and dig into my hands.,Negative,1,neutral,0
"Color fades after washing, which is a letdown.",Negative,1,neutral,0
The material feels flimsy and doesn't seem durable.,Negative,1,neutral,0
Handles are uncomfortable and dig into my hands.,Negative,1,neutral,0
The handles are sturdy and comfortable to hold.,Positive,5,positive,2
It cleans easily after outdoor adventures; a big plus for me.,Positive,5,positive,1
The handles are sturdy and comfortable to hold.,Positive,5,positive,2
Durable material that holds up even on rough terrain.,Positive,5,positive,1
It's not as spacious as advertised; feels small.,Negative,1,neutral,0
The tote is incredibly spacious and perfect for outdoor activities.,Positive,5,neutral,0
It doesn't hold up well in wet conditions; water seeps through.,Negative,1,neutral,0
"Color fades after washing, which is a letdown.",Negative,1,neutral,0
The handles are sturdy and comfortable to hold.,Positive,5,positive,2
I appreciate the sustainable materials used; very thoughtful.,Positive,5,neutral,0
It doesn't hold up well in wet conditions; water seeps through.,Negative,1,neutral,0
The handles are sturdy and comfortable to hold.,Positive,5,positive,2
Handles are uncomfortable and dig into my hands.,Negative,1,neutral,0
It's not as spacious as advertised; feels small.,Negative,1,neutral,0
I appreciate the sustainable materials used; very thoughtful.,Positive,5,neutral,0
The stitching came undone after a week of use.,Negative,1,neutral,0
The design is simple yet stylish; I get compliments all the time.,Positive,5,neutral,0
The design is simple yet stylish; I get compliments all the time.,Positive,5,neutral,0
The color options are fantastic and match any outfit.,Positive,5,positive,1
It's not as spacious as advertised; feels small.,Negative,1,neutral,0
The bag tore after just a few uses; very disappointing.,Negative,1,negative,-1
The bag tore after just a few uses; very disappointing.,Negative,1,negative,-1
Durable material that holds up even on rough terrain.,Positive,5,positive,1
It's not as spacious as advertised; feels small.,Negative,1,neutral,0
It doesn't hold up well in wet conditions; water seeps through.,Negative,1,neutral,0
Lightweight and easy to carry during hikes and picnics.,Positive,5,positive,2
The bag tore after just a few uses; very disappointing.,Negative,1,negative,-1
"Color fades after washing, which is a letdown.",Negative,1,neutral,0
The design is simple yet stylish; I get compliments all the time.,Positive,5,neutral,0
It cleans easily after outdoor adventures; a big plus for me.,Positive,5,positive,1
The design is bland and lacks personality.,Negative,1,neutral,0
Great for carrying all my gear without feeling heavy.,Positive,5,positive,1
I expected better quality for the price; not worth it.,Negative,1,neutral,0
The bag tore after just a few uses; very disappointing.,Negative,1,negative,-1
The handles are sturdy and comfortable to hold.,Positive,5,positive,2
The stitching came undone after a week of use.,Negative,1,neutral,0
"Color fades after washing, which is a letdown.",Negative,1,neutral,0
Great for carrying all my gear without feeling heavy.,Positive,5,positive,1
The bag tore after just a few uses; very disappointing.,Negative,1,negative,-1
Handles are uncomfortable and dig into my hands.,Negative,1,neutral,0
The design is bland and lacks personality.,Negative,1,neutral,0
